瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%),利汲(cm),傈款樊(10盒困)
146,傈林,2022-01-01 00:00,-4.9,,.9,51,,2
146,傈林,2022-01-01 01:00,-5.3,,.9,59,,7
146,傈林,2022-01-01 02:00,-5.5,,.9,60,,10
146,傈林,2022-01-01 03:00,-6.9,,1.3,67,,5
146,傈林,2022-01-01 04:00,-6.6,,.4,63,,0
146,傈林,2022-01-01 05:00,-6.8,,.3,64,,0
146,傈林,2022-01-01 06:00,-7.2,,0,72,,0
146,傈林,2022-01-01 07:00,-7.7,,.8,72,,0
146,傈林,2022-01-01 08:00,-7.9,,.5,75,,0
146,傈林,2022-01-01 09:00,-5.6,,.1,62,,0
146,傈林,2022-01-01 10:00,-4.4,,.3,47,,5
146,傈林,2022-01-01 11:00,-3,,.7,43,,7
146,傈林,2022-01-01 12:00,-1.6,,1.1,38,,7
146,傈林,2022-01-01 13:00,.9,,1.2,35,,3
146,傈林,2022-01-01 14:00,1.7,,1.3,31,,5
146,傈林,2022-01-01 15:00,2.2,,1.3,31,,5
146,傈林,2022-01-01 16:00,1.9,,.8,34,,4
146,傈林,2022-01-01 17:00,.9,,.9,41,,3
146,傈林,2022-01-01 18:00,.3,,.6,43,,6
146,傈林,2022-01-01 19:00,.2,,.3,44,,8
146,傈林,2022-01-01 20:00,-.3,,.2,47,,9
146,傈林,2022-01-01 21:00,-1.1,,.9,53,,5
146,傈林,2022-01-01 22:00,-1.6,,.9,53,,9
146,傈林,2022-01-01 23:00,-1.5,,.1,54,,2
146,傈林,2022-01-02 00:00,-1.6,,.3,54,,7
146,傈林,2022-01-02 01:00,-2.3,,.1,62,,8
146,傈林,2022-01-02 02:00,-2.9,,1.3,61,,0
146,傈林,2022-01-02 03:00,-3.8,,.9,66,,0
146,傈林,2022-01-02 04:00,-3.8,,1.1,65,,0
146,傈林,2022-01-02 05:00,-4.1,,1.6,60,,0
146,傈林,2022-01-02 06:00,-2.4,,1.6,50,,4
146,傈林,2022-01-02 07:00,-1.5,,.9,51,,8
146,傈林,2022-01-02 08:00,-1,,.5,47,,9
146,傈林,2022-01-02 09:00,-.1,,1,47,,2
146,傈林,2022-01-02 10:00,2.5,,1.5,41,,4
146,傈林,2022-01-02 11:00,1.2,,1.7,64,,9
146,傈林,2022-01-02 12:00,2.8,0,.4,56,,9
146,傈林,2022-01-02 13:00,4.7,,1.7,62,,4
146,傈林,2022-01-02 14:00,5.7,,1.9,56,,4
146,傈林,2022-01-02 15:00,5.5,,2.6,55,,2
146,傈林,2022-01-02 16:00,5.4,,2.6,60,,3
146,傈林,2022-01-02 17:00,3.7,,2.7,62,,0
146,傈林,2022-01-02 18:00,2.5,,2.2,61,,0
146,傈林,2022-01-02 19:00,1.3,,1.9,62,,0
146,傈林,2022-01-02 20:00,.8,,1.6,63,,0
146,傈林,2022-01-02 21:00,.1,,1.6,64,,0
146,傈林,2022-01-02 22:00,-.5,,.9,69,,0
146,傈林,2022-01-02 23:00,-1.9,,.9,77,,0
146,傈林,2022-01-03 00:00,-2.4,,.3,79,,0
146,傈林,2022-01-03 01:00,-2.8,,.7,80,,0
146,傈林,2022-01-03 02:00,-3.6,,.7,83,,0
146,傈林,2022-01-03 03:00,-3.8,,1.1,82,,0
146,傈林,2022-01-03 04:00,-4.9,,1.7,85,,0
146,傈林,2022-01-03 05:00,-4.8,,.7,85,,2
146,傈林,2022-01-03 06:00,-5,,1.2,84,,1
146,傈林,2022-01-03 07:00,-5.5,,1.4,85,,1
146,傈林,2022-01-03 08:00,-5.2,,1.2,82,,0
146,傈林,2022-01-03 09:00,-3.3,,.7,71,,0
146,傈林,2022-01-03 10:00,-.6,,.5,58,,3
146,傈林,2022-01-03 11:00,.9,,.6,61,,1
146,傈林,2022-01-03 12:00,2.1,,1.1,48,,0
146,傈林,2022-01-03 13:00,2.5,,1.9,48,,1
146,傈林,2022-01-03 14:00,3.2,,2.1,45,,0
146,傈林,2022-01-03 15:00,3.3,,1.8,46,,0
146,傈林,2022-01-03 16:00,3.7,,1.6,47,,0
146,傈林,2022-01-03 17:00,2.9,,1.2,52,,0
146,傈林,2022-01-03 18:00,2.1,,1.1,62,,0
146,傈林,2022-01-03 19:00,1.6,,1,65,,0
146,傈林,2022-01-03 20:00,.1,,1.5,69,,0
146,傈林,2022-01-03 21:00,-.4,,1.8,70,,0
146,傈林,2022-01-03 22:00,-.8,,1.5,71,,1
146,傈林,2022-01-03 23:00,-1,,2,72,,1
146,傈林,2022-01-04 00:00,-.3,,1.2,72,,8
146,傈林,2022-01-04 01:00,-.1,,1.4,70,,0
146,傈林,2022-01-04 02:00,.4,,1.2,70,,8
146,傈林,2022-01-04 03:00,.1,0,1.6,74,,7
146,傈林,2022-01-04 04:00,-.2,,1.6,76,,6
146,傈林,2022-01-04 05:00,.1,,1.1,76,,8
146,傈林,2022-01-04 06:00,-.1,,1.8,79,,8
146,傈林,2022-01-04 07:00,-.1,,.7,81,,4
146,傈林,2022-01-04 08:00,-.3,,1,81,,1
146,傈林,2022-01-04 09:00,.6,,2,70,,0
146,傈林,2022-01-04 10:00,1.6,,2.1,55,,0
146,傈林,2022-01-04 11:00,2.7,,1.7,42,,0
146,傈林,2022-01-04 12:00,3.4,,1.7,38,,0
146,傈林,2022-01-04 13:00,4.1,,1.4,33,,0
146,傈林,2022-01-04 14:00,4.5,,2.3,36,,0
146,傈林,2022-01-04 15:00,4.4,,2.7,33,,0
146,傈林,2022-01-04 16:00,4.3,,3.1,43,,0
146,傈林,2022-01-04 17:00,2.3,,2.4,47,,0
146,傈林,2022-01-04 18:00,1,,1.2,50,,0
146,傈林,2022-01-04 19:00,.3,,.8,52,,0
146,傈林,2022-01-04 20:00,.1,,1.4,50,,0
146,傈林,2022-01-04 21:00,-1.2,,1.5,49,,0
146,傈林,2022-01-04 22:00,-1.9,,1.5,48,,0
146,傈林,2022-01-04 23:00,-2.1,,1.3,46,,0
146,傈林,2022-01-05 00:00,-2.2,,.8,49,,8
146,傈林,2022-01-05 01:00,-2,,0,48,,8
146,傈林,2022-01-05 02:00,-2.4,,.9,52,,10
