rest,rest_code,review,wdate,review_count
자매집,38267052,"찐두루치기, 꾸덕 쫀쫀, 푸짐.너무 그리웠던 두루치기 맛♡",6.6.금,21
자매집,38267052,봄비가 추적추적 내리는 날~ 돛나물에 건강한 밑반찬 김치찌개 잘 먹었습니다..^^ 외국인도 가성비 좋은 한식에 흰밥도 찰지고 맛있답니다..!!,4.22.화,21
자매집,38267052,"화요일마다 먹는 점심~ 자매집 명품 김치찌개 완전 맛있죠.. 밑반찬도 그날 그날 만들어서 나오니까 선선하고 파김치 봄동김치도 완전 맛있어요..!! 백반 1인분 7천원 가격도 너무 착하답니다~~^^ 전주명가 막걸리도 한잔 곁드리면 속도 시원하고, 점심식사하면서 담소도 나누며 화기애애한 분위기가 된답니다...ㅎㅎ",3.18.화,21
자매집,38267052,매주 먹어도 안질리는 김찌찌개 잘 먹었습니다~^^ 외국인도 찾는 백반맛집..!!,5.13.화,21
자매집,38267052,"매주 먹어도 안질리고 맛있는 김찌찌개, 가성비도 좋고 와인보다 좋다는 막걸리 한사발하면 완전 딱이죠~^^",4.29.화,21
자매집,38267052,목련꽃 필무렵~ 오늘도 김치찌개로 하루가 즐겁습니다~^^,4.8.화,21
자매집,38267052,이번주는 봄철보약 머위대무침에 도라지생채무침까지 몸이 좋아하는 음식 먹고 입이 즐겁습니다~!!,4.15.화,21
자매집,38267052,"봄봄봄~ 오늘도 자매집 김치찌개 백반, 밑반찬도 건강식~~ 잘 먹었습니다~!!",4.1.화,21
자매집,38267052,봄날~ 밑반찬도 맛있고 먹는 즐거움 굿입니다..^^,3.25.화,21
자매집,38267052,새콤하니 발효된 김치찌개 맛있어요~^^,24.7.16.화,21
박가네수산시장,19936204,랍스터 코스 아주 좋아요!!맛있쥬.,7.1.화,63
박가네수산시장,19936204,가족모임 ㅇㅖ약후 이용했는데 랍스터반마리코스 진짜 가짓수 많고 다맛있어서 가족모임 만족도 최상입니다! 다음에 또오고싶어요,5.6.화,63
박가네수산시장,19936204,친구들과 모임이 있어 예약 후 방문사장님 친절하신데음식들이 좀 차가워서 아쉬웠어요,6.14.토,63
박가네수산시장,19936204,맛있어요,3.28.금,63
박가네수산시장,19936204,코스는 그냥저냥 다 괜찮았는데 라면이 너무 한강 ... 이라 놀람,24.2.20.화,63
박가네수산시장,19936204,점심특선!!!사장님 친절하시고 왕 맛있음회정식의 근본,23.10.19.목,63
박가네수산시장,19936204,맛있어요,24.2.1.목,63
박가네수산시장,19936204,해신탕이 저렴하고 맛있어요,23.8.5.토,63
박가네수산시장,19936204,친절해요,23.12.16.토,63
박가네수산시장,19936204,제입맛엔 안맞아요,23.5.31.수,63
맛뜨랑분식,1364605738,좋아요,7.28.월,45
맛뜨랑분식,1364605738,전주에서 가본 분식집 중에 제일 맛있습니다!!!사장님도 정말 친절하시고음식 하나 하나 정성들여 해주셔요😄😄재료들도 디테일하고 신선하구요그냥 존맛탱입니다!!!!!!! 여기서 시키세요 무조건,24.2.28.수,45
맛뜨랑분식,1364605738,점심에 떡볶이랑 모듬튀김 너무 맛있길래 또 저녁에 가서 오징어덮밥이랑 수제돈가스오므라이스 먹었어요! 4가지 음식 전부 다 맛있었어요👍 또 어묵 하나씩 서비스로 주셔서 너무 좋았어요! 음식들이 다 맛있고 양도 푸짐해서 배부르게 잘 먹었습니다 😋 다음에 다른 메뉴들도 먹으러 갈거예요!,24.2.24.토,45
맛뜨랑분식,1364605738,수제 돈까스라고 하셨는데 그래서 그런지 일반적인 돈까스보다 감칠맛..? 같은 게 더 잘 느껴져서 꼬소하니 오므라이스랑 더 잘 어울렸어요 🤤 도서관 주변에 가까이 있어서 혼밥하기도 좋은데 사장님도 넘넘 친절하셔서 매번 갈 때마다 기분 좋게 먹고 나올 수 있는 곳이에용!! 심지어 가격도 저렴한데 (주변 분식집 등등이나 비교해도 제일 저렴하고 양도 많은 것 같아요 😽) 양은 푸짐해서 든든하게 한 끼 할 수 있는 아주… 쨩쨩인 곳입니다 😻,24.2.13.화,45
맛뜨랑분식,1364605738,사장님이 친절하시고 순대 맛있어요,23.11.18.토,45
맛뜨랑분식,1364605738,Og감성의 분식집입니다.라볶이와 모듬튀김 주문했는데 구성이 아주 알차서 만족했습니다. 아마 다른 메뉴들도 맛이 상당할것으로 예상합니다.한가지 아쉬운 점은 나중에 주신 오뎅국물 간이 조금 부족한 거 말고는 없었습니다.,23.5.19.금,45
맛뜨랑분식,1364605738,맛있어요,24.2.28.수,45
맛뜨랑분식,1364605738,굿,23.9.11.월,45
맛뜨랑분식,1364605738,굿,23.9.13.수,45
맛뜨랑분식,1364605738,굿,23.12.17.일,45
소풍가는날,37724410,저번에는 안그랬는데 오늘은 볶음밥이 너무 달아요ㅠ,10.26.일,191
소풍가는날,37724410,.,10.12.일,191
소풍가는날,37724410,치돈맛나용,10.5.일,191
소풍가는날,37724410,가성비최고최고✧ʕ̢̣̣̣̣̩̩̩̩·͡˔·ོɁ̡̣̣̣̣̩̩̩̩✧,6.24.화,191
소풍가는날,37724410,맛나용,9.21.일,191
소풍가는날,37724410,교대에서 아이 수업받고 점심 먹으러 방문~~^^매콤김밥 맛있어요,4.12.토,191
소풍가는날,37724410,김밥이맛있어요☺️,7.23.수,191
소풍가는날,37724410,먹어본 치즈돈가스중 치즈가 가장 많다고 하며먹는 아들이네요..친절하시고 맛있게 먹었습니다..집에 들어가는길에 자주 들릴것같습니다..,3.7.금,191
소풍가는날,37724410,이른 시간 식사때문에빨리 오픈해서 좋아요.아이가 치즈가 먹어본 돈까스중 가장많았다고 해요,3.1.토,191
소풍가는날,37724410,오모라이스 맛있어요,5.17.토,191
