DE,HRLY_TIME,DLVR_STORE_INDUTY_NM,DLVR_STORE_BRTC_NM,DLVR_STORE_SIGNGU_NM,SETLE_KND_VALUE
2019-08-01,00,치킨,경기도,고양시 일산서구,3
2019-08-01,00,치킨,경기도,의정부시,1
2019-08-01,00,분식,경기도,고양시 일산동구,1
2019-08-01,00,족발/보쌈,경기도,의정부시,2
2019-08-01,00,치킨,전라남도,순천시,2
2019-08-01,00,족발/보쌈,서울특별시,은평구,3
2019-08-01,00,야식,경기도,의정부시,2
2019-08-01,00,야식,서울특별시,구로구,2
2019-08-01,00,족발/보쌈,경기도,고양시 일산동구,1
2019-08-01,00,치킨,경기도,고양시 일산동구,2
2019-08-01,00,회,서울특별시,은평구,2
2019-08-01,00,치킨,경기도,고양시 일산동구,2
2019-08-01,00,치킨,경기도,시흥시,2
2019-08-01,00,치킨,서울특별시,은평구,2
2019-08-01,00,배달전문업체,경기도,의정부시,2
2019-08-01,00,한식,경기도,광명시,2
2019-08-01,00,치킨,경기도,광명시,1
2019-08-01,00,치킨,서울특별시,영등포구,1
2019-08-01,00,치킨,경기도,의정부시,2
2019-08-01,00,야식,경기도,의정부시,2
2019-08-01,00,치킨,경기도,시흥시,2
2019-08-01,00,분식,경기도,의정부시,2
2019-08-01,00,치킨,대전광역시,동구,2
2019-08-01,00,치킨,충청남도,서산시,2
2019-08-01,00,야식,서울특별시,구로구,1
2019-08-01,00,분식,경기도,고양시 일산동구,3
2019-08-01,00,돈까스/일식,경기도,광명시,2
2019-08-01,00,패스트푸드,경기도,의정부시,2
2019-08-01,00,치킨,경기도,의정부시,1
2019-08-01,00,돈까스/일식,제주특별자치도,서귀포시,1
2019-08-01,00,치킨,경기도,의정부시,1
2019-08-01,00,족발/보쌈,경기도,의정부시,1
2019-08-01,00,회,경기도,의정부시,2
2019-08-01,00,치킨,경상남도,김해시,3
2019-08-01,00,야식,서울특별시,구로구,2
2019-08-01,00,치킨,경기도,의정부시,2
2019-08-01,00,치킨,전라남도,순천시,1
2019-08-01,00,치킨,경기도,광명시,2
2019-08-01,00,치킨,경기도,고양시 일산동구,2
2019-08-01,00,치킨,서울특별시,영등포구,2
2019-08-01,00,패스트푸드,전라북도,전주시 완산구,1
2019-08-01,00,족발/보쌈,경기도,의정부시,2
2019-08-01,00,치킨,충청북도,제천시,2
2019-08-01,00,한식,경기도,의정부시,3
2019-08-01,00,치킨,경기도,의정부시,2
2019-08-01,00,찜탕,전라북도,전주시 완산구,3
2019-08-01,00,회,경기도,의정부시,2
2019-08-01,00,한식,경기도,의정부시,2
2019-08-01,00,족발/보쌈,경기도,광명시,1
2019-08-01,00,치킨,경기도,광명시,1
2019-08-01,00,치킨,서울특별시,영등포구,1
2019-08-01,00,치킨,서울특별시,영등포구,2
2019-08-01,00,치킨,서울특별시,영등포구,2
2019-08-01,00,치킨,전라남도,순천시,3
2019-08-01,00,야식,경기도,고양시 일산동구,1
2019-08-01,00,배달전문업체,경기도,의정부시,1
2019-08-01,00,족발/보쌈,서울특별시,은평구,1
2019-08-01,00,치킨,경기도,의정부시,1
2019-08-01,00,치킨,경기도,고양시 일산동구,3
2019-08-01,00,야식,경상남도,김해시,2
2019-08-01,00,회,경기도,의정부시,2
2019-08-01,00,치킨,경기도,의정부시,2
2019-08-01,00,치킨,서울특별시,영등포구,1
2019-08-01,00,돈까스/일식,충청북도,제천시,2
2019-08-01,00,중식,전라남도,순천시,2
2019-08-01,00,배달전문업체,경기도,의정부시,2
2019-08-01,00,돈까스/일식,경기도,의정부시,3
2019-08-01,00,아시안/양식,경기도,의정부시,2
2019-08-01,00,치킨,경기도,의정부시,2
2019-08-01,00,치킨,서울특별시,영등포구,1
2019-08-01,00,치킨,경기도,의정부시,3
2019-08-01,00,치킨,경기도,광명시,2
2019-08-01,00,야식,서울특별시,구로구,2
2019-08-01,00,족발/보쌈,서울특별시,영등포구,1
2019-08-01,00,치킨,서울특별시,양천구,1
2019-08-01,00,분식,경기도,광명시,2
2019-08-01,00,치킨,경기도,고양시 일산동구,2
2019-08-01,00,패스트푸드,서울특별시,구로구,1
2019-08-01,00,치킨,전라남도,순천시,1
2019-08-01,00,치킨,서울특별시,영등포구,1
2019-08-01,00,패스트푸드,서울특별시,구로구,2
2019-08-01,00,피자,서울특별시,구로구,2
2019-08-01,00,분식,경기도,고양시 일산동구,2
2019-08-01,00,치킨,서울특별시,은평구,2
2019-08-01,00,패스트푸드,전라북도,전주시 완산구,3
2019-08-01,00,회,경기도,의정부시,2
2019-08-01,00,족발/보쌈,서울특별시,은평구,1
2019-08-01,00,피자,경기도,고양시 일산동구,2
2019-08-01,00,치킨,경기도,고양시 일산동구,2
2019-08-01,00,치킨,전라남도,순천시,2
2019-08-01,00,분식,경기도,고양시 일산동구,1
2019-08-01,00,심부름,경기도,의정부시,2
2019-08-01,00,야식,경기도,시흥시,1
2019-08-01,00,치킨,서울특별시,구로구,2
2019-08-01,00,심부름,경기도,의정부시,1
2019-08-01,00,한식,경기도,의정부시,2
2019-08-01,00,야식,서울특별시,구로구,2
2019-08-01,00,치킨,서울특별시,마포구,1
2019-08-01,00,피자,제주특별자치도,서귀포시,3
2019-08-01,00,치킨,경기도,의정부시,1
