food,category
김치찌개,한식국물
된장찌개,한식국물
부대찌개,한식국물
순댓국,한식국물
감자탕,한식국물
갈비탕,한식국물
삼계탕,한식국물
해장국,한식국물
차돌된장찌개,한식국물
곰탕,한식국물
설렁탕,한식국물
육개장,한식국물
우거지탕,한식국물
청국장,한식국물
동태찌개,한식국물

비빔밥,한식밥류
돌솥비빔밥,한식밥류
전주비빔밥,한식밥류
제육덮밥,한식밥류
불고기덮밥,한식밥류
오징어덮밥,한식밥류
참치마요덮밥,한식밥류
김치볶음밥,한식밥류
새우볶음밥,한식밥류
잡채밥,한식밥류
소고기국밥,한식밥류
돼지국밥,한식밥류
콩나물국밥,한식밥류
순대국밥,한식밥류
육회비빔밥,한식밥류

삼겹살,한식구이볶음
항정살,한식구이볶음
돼지갈비,한식구이볶음
양념갈비,한식구이볶음
돼지불백,한식구이볶음
제육볶음,한식구이볶음
닭갈비,한식구이볶음
오리고기훈제,한식구이볶음
불고기,한식구이볶음
고추장삼겹살,한식구이볶음
간장불고기,한식구이볶음
닭발,한식구이볶음
막창구이,한식구이볶음
족발,한식구이볶음
보쌈,한식구이볶음

냉면,면류
물냉면,면류
비빔냉면,면류
칼국수,면류
바지락칼국수,면류
닭칼국수,면류
수제비,면류
잔치국수,면류
비빔국수,면류
우동,면류
볶음우동,면류
짬뽕우동,면류
쫄면,면류
라멘,면류
쌀국수,면류

떡볶이,분식
국물떡볶이,분식
치즈떡볶이,분식
라볶이,분식
김밥,분식
참치김밥,분식
치즈김밥,분식
순대,분식
튀김세트,분식
어묵,분식
만두,분식
라면,분식
치즈라면,분식
핫도그,분식
야채튀김,분식

짜장면,중식
짬뽕,중식
간짜장,중식
볶음밥,중식
탕수육,중식
깐풍기,중식
양장피,중식
마파두부,중식
팔보채,중식
고추잡채,중식
차돌짬뽕,중식
해물짬뽕,중식
고기짬뽕,중식
마라탕,중식
마라샹궈,중식

초밥,일식
연어초밥,일식
참치회덮밥,일식
가츠동,일식
규동,일식
오야코동,일식
돈카츠,일식
치즈돈카츠,일식
라멘(일식),일식
냉우동,일식
소바,일식
텐동,일식
우나기동,일식
카레라이스,일식
고로케,일식

파스타,양식
크림파스타,양식
토마토파스타,양식
알리오올리오,양식
리조또,양식
피자,양식
치즈피자,양식
페퍼로니피자,양식
스테이크,양식
치킨스테이크,양식
포크스테이크,양식
함박스테이크,양식
샐러드,양식
샌드위치,양식
수프,양식

쌀국수(베트남),아시아푸드
분짜,아시아푸드
반미,아시아푸드
팟타이,아시아푸드
똠얌꿍,아시아푸드
카오팟,아시아푸드
카오만가이,아시아푸드
인도커리,아시아푸드
난,아시아푸드
탄두리치킨,아시아푸드
마살라커리,아시아푸드
포(베트남쌀국수),아시아푸드
샤브샤브,아시아푸드
야끼소바,아시아푸드
가라아게,아시아푸드

아메리칸버거,기타
치즈버거,기타
핫치킨버거,기타
프라이드치킨,기타
양념치킨,기타
치킨텐더,기타
맥앤치즈,기타
타코,기타
부리토,기타
케밥,기타
프렌치프라이,기타
웨지감자,기타
칠리치즈감자,기타
에그스크램블,기타
토스트세트,기타
