상호명,지점명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번본번지,지번부번지,지번주소,건물본번지,건물부번지,건물명,도로명주소,신우편번호,경도,위도
자매집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,서서학동,서서학동,130,1,전북특별자치도 전주시 완산구 서서학동 130-1,27,,,전북특별자치도 전주시 완산구 팔달로 27,55099,127.1492395,35.80523184
박가네수산시장,,한식,횟집,한식 해산물 요리 전문점,전북특별자치도,전주시 완산구,효자5동,효자동3가,1698,10,전북특별자치도 전주시 완산구 효자동3가 1698-10,14,,,전북특별자치도 전주시 완산구 석산1길 14,54963,127.103311,35.82018695
맛뜨랑분식,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,삼천1동,삼천동1가,576,7,전북특별자치도 전주시 완산구 삼천동1가 576-7,15,,,전북특별자치도 전주시 완산구 성지산로 15,55084,127.1201669,35.79991091
소풍가는날,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,동서학동,동서학동,173,2,전북특별자치도 전주시 완산구 동서학동 173-2,25,,,전북특별자치도 전주시 완산구 천경로 25,55100,127.1531404,35.80857062
보나베띠,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동2가,1155,1,전북특별자치도 전주시 완산구 효자동2가 1155-1,48,,보나베띠위드빌딩,전북특별자치도 전주시 완산구 홍산남로 48,54969,127.1069897,35.81555125
오동태마을,반월점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,조촌동,반월동,243,5,전북특별자치도 전주시 덕진구 반월동 243-5,109,,,전북특별자치도 전주시 덕진구 쪽구름로 109,54808,127.0733718,35.87376162
동호곱창,,한식,곱창 전골/구이,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아1동,우아동3가,748,14,전북특별자치도 전주시 덕진구 우아동3가 748-14,8,,,전북특별자치도 전주시 덕진구 도당산3길 8,54910,127.1560262,35.8471588
인생포차가맥,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1458,4,전북특별자치도 전주시 완산구 효자동3가 1458-4,57,,,전북특별자치도 전주시 완산구 서곡로 57,54956,127.1003741,35.83426711
연어회상,,일식,일식 회/초밥,일식 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,1543,8,전북특별자치도 전주시 덕진구 금암동 1543-8,42,,,전북특별자치도 전주시 덕진구 삼송3길 42,54899,127.1370807,35.84400948
풍년제과효자,롯데점,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,효자3동,효자동1가,414,,전북특별자치도 전주시 완산구 효자동1가 414,29,13,효자롯데1차,전북특별자치도 전주시 완산구 용머리로 29-13,55056,127.1135391,35.80695622
건강한김밥,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,여의동,만성동,1377,11,전북특별자치도 전주시 덕진구 만성동 1377-11,72,,하나타워,전북특별자치도 전주시 덕진구 만성동로 72,54859,127.0791206,35.84214195
데이브제과점,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,삼천2동,삼천동1가,306,17,전북특별자치도 전주시 완산구 삼천동1가 306-17,42,9,상가,전북특별자치도 전주시 완산구 장승배기로 42-9,55132,127.1177209,35.79164874
만나만나족발굴보쌈,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,여의동,만성동,1274,12,전북특별자치도 전주시 덕진구 만성동 1274-12,8,19,전체호,전북특별자치도 전주시 덕진구 만성남5길 8-19,54867,127.0737616,35.84030679
전주정든식당,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,1556,28,전북특별자치도 전주시 덕진구 금암동 1556-28,13,,,전북특별자치도 전주시 덕진구 금암4길 13,54930,127.1378156,35.84009719
해밀,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1283,2,전북특별자치도 전주시 덕진구 덕진동1가 1283-2,62,,,전북특별자치도 전주시 덕진구 들사평로 62,54894,127.1261946,35.84079491
청학동버섯전골,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,585,8,전북특별자치도 전주시 완산구 중화산동2가 585-8,331,,,전북특별자치도 전주시 완산구 효자로 331,54973,127.1216791,35.81942171
빵키로,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,우아2동,산정동,857,4,전북특별자치도 전주시 덕진구 산정동 857-4,384,,,전북특별자치도 전주시 덕진구 안덕원로 384,55015,127.1685517,35.83943615
황가네꼼장어닭발숯불구이,효자점,한식,횟집,한식 해산물 요리 전문점,전북특별자치도,전주시 완산구,효자2동,효자동1가,388,,전북특별자치도 전주시 완산구 효자동1가 388,170,,,전북특별자치도 전주시 완산구 거마평로 170,55054,127.1164059,35.80774659
