rest,rest_code,wdate,clean_review,emotion,tokens,pred_emotion,emotion_prob,retrain_emotion
자매집,38267052,2025-06-06,찐두루치기 꾸덕 쫀쫀 푸짐너무 그리웠던 두루치기 맛,1,찌다 두루치기 꾸다 덕 쫀쫀 푸다 짐 그립다 두루치기 맛,1,0.720588576,1
자매집,38267052,2025-04-22,봄비가 추적추적 내리는 날 돛나물에 건강한 밑반찬 김치찌개 잘 먹었습니다 외국인도 가성비 좋은 한식에 흰밥도 찰지고 맛있답니다,1,봄비 내리다 날 돛 나물 건강하다 밑반찬 김치찌개 자다 먹다 외국인 가성 비 좋다 한식 흰밥 차다 맛있다,1,0.943885518,1
자매집,38267052,2025-03-18,화요일마다 먹는 점심 자매집 명품 김치찌개 완전 맛있죠 밑반찬도 그날 그날 만들어서 나오니까 선선하고 파김치 봄동김치도 완전 맛있어요 백반 1인분 7천원 가격도 너무 착하답니다 전주명가 막걸리도 한잔 곁드리면 속도 시원하고 점심식사하면서 담소도 나누며 화기애애한 분위기가 된답니다ㅎㅎ,1,화요일 먹다 점심 자매 집 명품 김치찌개 완전 맛있다 밑반찬 그날 그날 만들다 나오다 선선 파김치 봄 김치 완전 맛있다 백반 인분 가격 착하다 전주 막걸리 한잔 곁 드리다 속도 시원하다 점심식사 하다 담소 나누다 화기 애애 분위기 되다,1,0.869788403,1
자매집,38267052,2025-05-13,매주 먹어도 안질리는 김찌찌개 잘 먹었습니다 외국인도 찾는 백반맛집,1,먹다 안질리다 김찌 찌개 자다 먹다 외국인 찾다 백반 맛집,1,0.942674797,1
자매집,38267052,2025-04-29,매주 먹어도 안질리고 맛있는 김찌찌개 가성비도 좋고 와인보다 좋다는 막걸리 한사발하면 완전 딱이죠,1,먹다 안질리다 맛있다 김찌 찌개 가성 비도 좋다 와인 좋다 막걸리 사발 완전 딱이다,1,0.940722151,1
자매집,38267052,2025-04-08,목련꽃 필무렵 오늘도 김치찌개로 하루가 즐겁습니다,1,목련 꽃 필 오늘 김치찌개 하루 즐겁다,1,0.69262234,1
자매집,38267052,2025-04-15,이번주는 봄철보약 머위대무침에 도라지생채무침까지 몸이 좋아하는 음식 먹고 입이 즐겁습니다,1,주다 봄철 보약 머위 무치다 도라지 생채 무치다 몸 좋아하다 음식 먹다 입 즐겁다,1,0.737657343,1
자매집,38267052,2025-04-01,봄봄봄 오늘도 자매집 김치찌개 백반 밑반찬도 건강식 잘 먹었습니다,1,봄봄봄 오늘 자매 집 김치찌개 백반 밑반찬 건강 자다 먹다,1,0.856232784,1
자매집,38267052,2025-03-25,봄날 밑반찬도 맛있고 먹는 즐거움 굿입니다,1,봄날 밑반찬 맛있다 먹다 즐거움 굿 이다,1,0.93362637,1
자매집,38267052,2024-07-16,새콤하니 발효된 김치찌개 맛있어요,1,콤 발효 되다 김치찌개 맛있다,1,0.747735496,1
박가네수산시장,19936204,2025-07-01,랍스터 코스 아주 좋아요맛있쥬,1,랍스터 코스 아주 좋다 맛있다 쥬,1,0.872206725,1
박가네수산시장,19936204,2025-05-06,가족모임 ㅇ약후 이용했는데 랍스터반마리코스 진짜 가짓수 많고 다맛있어서 가족모임 만족도 최상입니다 다음에 또오고싶어요,1,가족 모임 후 이용 하다 랍스터 마리 코스 진짜 가짓수 많다 맛있다 가족 모임 만족도 최상 이다 오다,1,0.634205694,1
박가네수산시장,19936204,2025-06-14,친구들과 모임이 있어 예약 후 방문사장님 친절하신데음식들이 좀 차가워서 아쉬웠어요,0,친구 모임 예약 후 방문사 장님 친절하다 음식 차갑다 아쉽다,0,0.811389616,0
박가네수산시장,19936204,2025-03-28,맛있어요,1,맛있다,1,0.995398047,1
박가네수산시장,19936204,2024-02-20,코스는 그냥저냥 다 괜찮았는데 라면이 너무 한강 이라 놀람,0,코스 괜찮다 라면 한강 이르다 놀람,1,0.691917965,1
박가네수산시장,19936204,2023-10-19,점심특선사장님 친절하시고 왕 맛있음회정식의 근본,1,점심 특선 사장 친절하다 왕 맛있다 회정 근본,1,0.878018099,1
박가네수산시장,19936204,2024-02-01,맛있어요,1,맛있다,1,0.995398047,1
박가네수산시장,19936204,2023-08-05,해신탕이 저렴하고 맛있어요,1,해신 탕 저렴하다 맛있다,1,0.856683254,1
박가네수산시장,19936204,2023-12-16,친절해요,1,친절하다,1,0.889941693,1
박가네수산시장,19936204,2023-05-31,제입맛엔 안맞아요,0,입맛 맞다,0,0.581116403,0
맛뜨랑분식,1364605738,2025-07-28,좋아요,1,좋다,1,0.983089739,1
맛뜨랑분식,1364605738,2024-02-28,전주에서 가본 분식집 중에 제일 맛있습니다사장님도 정말 친절하시고음식 하나 하나 정성들여 해주셔요재료들도 디테일하고 신선하구요그냥 존맛탱입니다 여기서 시키세요 무조건,1,전주 가보다 분식집 중 제일 맛있다 사장 정말 친절하다 음식 정성 해주다 재료 디테일 신선하다 그냥 존맛 이다 무조건,1,0.734334883,1
맛뜨랑분식,1364605738,2024-02-24,점심에 떡볶이랑 모듬튀김 너무 맛있길래 또 저녁에 가서 오징어덮밥이랑 수제돈가스오므라이스 먹었어요 4가지 음식 전부 다 맛있었어요 또 어묵 하나씩 서비스로 주셔서 너무 좋았어요 음식들이 다 맛있고 양도 푸짐해서 배부르게 잘 먹었습니다 다음에 다른 메뉴들도 먹으러 갈거예요,1,점심 떡볶이 듬 튀김 맛있다 저녁 가다 오징어 덮다 밥 돈가스 오므라이스 먹다 가지 음식 맛있다 어묵 서비스 주다 좋다 음식 맛있다 양도 푸다 짐 하다 배부르다 자다 먹다 메뉴 먹다 갈다,1,0.916272289,1
맛뜨랑분식,1364605738,2024-02-13,수제 돈까스라고 하셨는데 그래서 그런지 일반적인 돈까스보다 감칠맛 같은 게 더 잘 느껴져서 꼬소하니 오므라이스랑 더 잘 어울렸어요 도서관 주변에 가까이 있어서 혼밥하기도 좋은데 사장님도 넘넘 친절하셔서 매번 갈 때마다 기분 좋게 먹고 나올 수 있는 곳이에용 심지어 가격도 저렴한데 주변 분식집 등등이나 비교해도 제일 저렴하고 양도 많은 것 같아요 양은 푸짐해서 든든하게 한 끼 할 수 있는 아주 쨩쨩인 곳입니다,1,수제 돈까스 하다 그렇다 일반 돈까스 감칠맛 게 더 자다 느껴지다 꼬소하 오므라이스 더 자다 어울리다 도서관 주변 가까이 혼밥 기도 좋다 사장 넘다 넘다 친절하다 갈다 기분 좋다 먹다 나오다 수 곳 용 가격 저렴하다 주변 분식집 비교 하다 제일 저렴하다 양도 많다 양은 푸다 짐 하다 든든하다 하다 끼 하다 수 아주 쨩쨩 곳 이다,1,0.914857909,1
맛뜨랑분식,1364605738,2023-11-18,사장님이 친절하시고 순대 맛있어요,1,사장 친절하다 순대 맛있다,1,0.928926249,1
맛뜨랑분식,1364605738,2023-05-19,감성의 분식집입니다라볶이와 모듬튀김 주문했는데 구성이 아주 알차서 만족했습니다 아마 다른 메뉴들도 맛이 상당할것으로 예상합니다한가지 아쉬운 점은 나중에 주신 오뎅국물 간이 조금 부족한 거 말고는 없었습니다,1,감성 분식집 이다 라볶이 듬 튀김 주문 하다 구성 아주 알차다 만족하다 아마 메뉴 맛 상당하다 예상 하다 한가지 아쉽다 점 나중 주신 오뎅 국물 간이 부족하다 거 없다,1,0.507597252,1
맛뜨랑분식,1364605738,2024-02-28,맛있어요,1,맛있다,1,0.995398047,1
맛뜨랑분식,1364605738,2023-09-11,굿,1,굿,1,0.614482538,1
맛뜨랑분식,1364605738,2023-09-13,굿,1,굿,1,0.614482538,1
맛뜨랑분식,1364605738,2023-12-17,굿,1,굿,1,0.614482538,1
소풍가는날,37724410,2025-10-26,저번에는 안그랬는데 오늘은 볶음밥이 너무 달아요,0,저번 그렇다 오늘 볶음밥 달다,0,0.836586432,0
소풍가는날,37724410,2025-10-05,치돈맛나용,1,치돈맛 나용,1,0.71944731,1
소풍가는날,37724410,2025-06-24,가성비최고최고,1,가성 비 최고 최고,1,0.726634175,1
소풍가는날,37724410,2025-09-21,맛나용,1,맛 나용,1,0.71944731,1
소풍가는날,37724410,2025-04-12,교대에서 아이 수업받고 점심 먹으러 방문매콤김밥 맛있어요,1,교대 수업 받다 점심 먹다 방문 매콤 김밥 맛있다,1,0.656881172,1
소풍가는날,37724410,2025-07-23,김밥이맛있어요,1,김밥 맛있다,1,0.683348649,1
소풍가는날,37724410,2025-03-07,먹어본 치즈돈가스중 치즈가 가장 많다고 하며먹는 아들이네요친절하시고 맛있게 먹었습니다집에 들어가는길에 자주 들릴것같습니다,1,먹다 보다 치즈 돈가스 치즈 가장 많다 하다 먹다 아들 요 친절하다 맛있다 먹다 집 들어가다 길 자주 들리다,1,0.956100204,1
소풍가는날,37724410,2025-03-01,이른 시간 식사때문에빨리 오픈해서 좋아요아이가 치즈가 먹어본 돈까스중 가장많았다고 해요,1,이르다 식사 때문 오픈 하다 좋다 치즈 먹다 보다 돈까스 가장 많다 해,1,0.895417179,1
소풍가는날,37724410,2025-05-17,오모라이스 맛있어요,1,라이스 맛있다,1,0.995398047,1
보나베띠,20691009,2025-04-06,생일기념으로 처음 방문했습니다와 정말 맛있게 먹고 왔습니다매콤함이 있었지만 맛있게 매워서 너무 개운했어요예약하고 가니 음료쿠폰도 있어서 더 만족했습니다 남편도 다음에 또 오자고 그러네요번창하세요,1,생일 기념 처음 방문 하다 오다 정말 맛있다 먹다 오다 매콤 함 맛있다 맵다 개운하다 예약 가다 음료 쿠폰 더 만족하다 남편 오자 그렇다 번창 하다,1,0.819517879,1
